Component,Failure,DefectivePart,PartsReplaced,Cost,DealerComment_English
DAB RADIO BLUETOOTH,SHORT CIRCUIT,RADIO ACCESSORIES,1,142.33,COMPLAINT RADIO NOT WORKING - RADION SHORT CIRCUIT CAUSE RADIO NOT WORKING - RADION SHORT CIRCUIT CORRECTION REPLACE RADIO
DAB RADIO BLUETOOTH,DEFECT,RADIO ACCESSORIES,1,65.498982,COMPLAINT THE CASSETTE RECORDER DOES NOT WORK CAUSES DEFECTIVE CASSETTE RECORDER CORRECTION REPLACED CASSETTE RECORDER
DAB RADIO BLUETOOTH,SHORT CIRCUIT,RADIO ACCESSORIES,1,118.73,COMPLAINT RADIO NOT WORKING - RADIO SHORT CIRCUIT CAUSE RADIO NOT WORKING - RADIO SHORT CIRCUIT CORRECTION REPLACE RADIO
DAB RADIO BLUETOOTH,DEFECT,RADIO ACCESSORIES,1,67.694501,COMPLAINT THE RADIO DOESN'T TURN ON CAUSES RADIO FAULT CORRECTION RADIO REPLACEMENT
DAB RADIO BLUETOOTH,DEFECT,RADIO ACCESSORIES,1,65.494909,COMPLAINT RADIO DOESN'T WORK CAUSES RADIO BLUETOOTH DEFECTIVE CORRECTION BLUETOOTH RADIO REPLACEMENT
DAB RADIO BLUETOOTH,SEIZURE,RADIO ACCESSORIES,0,39.3,"COMPLAINT radio blocked CAUSE update needed CORRECTION check radio, perform update"
DAB RADIO BLUETOOTH,BLOCKAGE,RADIO ACCESSORIES,0,78.6,"COMPLAINT radio stuck CAUSE update needed CORRECTION check radio, perform update radio + test (work via economy, no times in SRT)"
DAB RADIO BLUETOOTH,DEFECT,RADIO ACCESSORIES,1,1160.82,"COMPLAIN Radio does not work in freezing temperatures. No sound and the picture disappears. Works for a while again after reboot. CAUSE Probably a fault with the radio. CORRECTION Radio disassembly, check cabling and connectors, no visible faults. Tried changing the radio, don't know if it's ok until it gets cold again."
DAB RADIO BLUETOOTH,DEFECT,RADIO ACCESSORIES,1,753.471851,"Error Defective buttons on multimedia system Cause Defective ribbon print for the buttons Correction Replaced complete radio, as cable for buttons cannot be loosened"
DAB RADIO BLUETOOTH,DEFECT,RADIO ACCESSORIES,1,1086.25,"DAMAGE TYPE Navigator keys do not light up - Internal navigator error on key illumination - Check navigator operation, check electrical system, replace car radio CAUSE Internal navigator error on key illumination CORRECTION Check navigator operation, check electrical system, replace car radio"
DAB RADIO BLUETOOTH,SHORT CIRCUIT,RADIO ACCESSORIES,1,1254.95,"RECL Micro Phone in the radio is not working. Check and repair. REASON Microphone not working CORRECTION Radio hands-free system checked, different cell phones paired, plug and wiring visually checked, radio installed and replaced."
DAB RADIO BLUETOOTH,BREAK,RADIO TO REMANUFACT.,0,142.5,INCIDENT CAR RADIO TURNS OFF BY ITSELF AT TIMES CAUSE ELECTRICAL CHECK SOLUTION HARNESS REPAIR
DAB RADIO BLUETOOTH,SHORT CIRCUIT,ECU RADIONAVIGATOR,1,2052.3,"COMPLAINT MULTI MEDIA UNIT CONSTANTLY RESETTING, PLYING UP IN REVERSE , SCREEN NOT COMING UP IN REVERSE OCCASSIONAY AND MULTI MEDIA STAYING ON 2 HOURS AFTER TURNED OFF CAUSE INTERNAL SHORT IN RADIO CORRECTION CHECK AND TESTED MULTI MEDIA, SET TO INTERMEDIATE TURN OFF WITH KEY, STAYS OFF FOR 3 SECONDS THEN TURNS ON BY ITSELF.CHECKED AND TESTED BODY COMPUTER INPUTS AND OUTPUTS, TESTED WIRING FROM BODY MODULE TO RADIO, ALL OK,RESET RADIO STILL TURNING ON BY ITSELF, INTERNAL SHORT IN RADIO, SUPPLIED AND FITTED NEW RADIO ,TESTED ALL OK EXTRA LABOUR CHECK MUTLI MEDIA UNIT 1 WU CHECK AND TEST BODY MODULE 3 WU CHECK WIRING AND CONNECTIONS 10 WU RESET RADIO AND RETEST 2WU"
DAB RADIO BLUETOOTH,SHORT CIRCUIT,ECU RADIONAVIGATOR,1,1942.4875,COMPLAINT CUSTOMER SAW SMOKE COMING FROM CD PLAYER INSPECT AND DIAGNOSE CAUSE INTERNAL SHORT CIRCUIT CORRECTION INSPECT AS PER CUSTOMER. FOUND FUSE BLOWN CAUSING SMOKE TO COME OUT FROM THE UNIT INSPECTED WIRING. SUSPECT INTERNAL SHORT CIRCUIT ON CD PLAYER. REMOVE AND REPLACE CD PLAYER AND CONFIGURATE TO VEHICLE. CHARGED 30MINS FOR INSPECTING AND FINDING THE FAULT.
DAB RADIO BLUETOOTH,LOW OUTPUT/EFFICIENCY,ECU RADIONAVIGATOR,0,9.4,DAMAGE TYPE NAVIGATOR DOES NOT WORK - ASIST N¢ 105316749 CAUSE NAVIGATOR HOOKS UP THE PHONE BUT DOES NOT TAKE THE HANDS-FREE CALL CORRECTION REPLACEMENT OF NAVIGATOR GROUP SUPPLIED BY MAGNETI MARELLI - ASIST N¢ 105316749
DAB RADIO BLUETOOTH,DEFECT,ECU RADIONAVIGATOR,1,2012.4875,COMPLAINT RADIO TURNING OFF CONSTANTLY WHILE DRIVING CAUSE DEFECTIVE UNIT CORRECTION CONNECTED EASY AND CHECKED FOR FAULTS / CODES. INSPECTED OPERATION AND CONFIRMED UNIT TURNING OFF. ATTEMPTED TO UPDATE WITH FIELS FROM IWD AND FAILED TO UPDATE. REMOVED MODULE AND REPLACED WITH NEW. PROGRAMMED VIA TELESERVCES AND UPDATED VIA IWD. -EXTRA LABOUR = FAILED UPDATE PER ATTACHED THS AND FAULT FINDING 10WU. THD ATTACHED
DAB RADIO BLUETOOTH,SHORT CIRCUIT,INDICATOR,1,122.35,RECL USB/AUX plug from radio not working REASON USB/AUX socket is defective and does not work CORRECTION USB/AUX socket replaced
DAB RADIO BLUETOOTH,DEFECT,RADIO,1,631.18,DAMAGETYPE Defective car radio CAUSE The on/off button does not always work CORRECTION Car radio replacement
DAB RADIO BLUETOOTH,SHORT CIRCUIT,RADIO,1,539.876958,COMPLAINT RADIO TURNS OFF AUTOMATICALLY WHILE DRIVING CPRZ INTERNAL ELECTRICAL DAMAGE TO RADIO CORRECTION RADIO REPLACEMENT
DAB RADIO BLUETOOTH,DEFECT,RADIO,1,934.738739,RECL Radio partially not working Bluetooth for mobile phone connection does not work REASON Radio defective CORRECTION Make diagnosis Radio replaced Functional check carried out
DAB RADIO BLUETOOTH,LOW OUTPUT/EFFICIENCY,POWER BOOSTER,1,140.48,RECL DAB HAS NO RECEPTION SINCE NEW ANTENNA REASON WATER INTAKE ON AMPLIFIER CORRECTION AMPLIFIER RENEWED
DAB RADIO BLUETOOTH,DEFECT,MONITOR,2,865.96,COMPLAINT radio touch screen not working CAUSE radio defect CORRECTION new radio fitted and programmed
DAB RADIO BLUETOOTH,LOW OUTPUT/EFFICIENCY,MONITOR,2,1203.21,"Goals Customer says there is no image in the display for the radio Reason Stereo does not work Reading error codes Can't get in touch with NiS Check fuses -OK KCheck canbus -OK Control connector behind stereo, has plus and minus Stereo unit defective Reason: Internal error in device Change Installed new stereo unit Encoded new stereo, 1st coins Final test: Test of stereo - OK"
DAB RADIO BLUETOOTH,NO WARNING,MONITOR,0,77,RECL RADIO INTERMITTENTLY STOPS REASON Faulty operating software CORRECTION Software update performed
DAB RADIO BLUETOOTH,DEFECT,MONITOR,2,865.96,COMPLAINT navigation keeps dropping out CAUSE niche is defective CORRECTION niche replaced and programmed.
DAB RADIO BLUETOOTH,ADJUSTMENT,MONITOR,0,12.94,COMPLAINT radio starts playing by itself CAUSE software needs to be updated CORRECTION update radio software
DAB RADIO BLUETOOTH,SHORT CIRCUIT,RADIO,2,751.946309,"COMPLAINT The radio periodically jams and locks up - it cannot be turned off CAUSE Internal device fault, short circuit. CORRECTION Replacement of DAB radio."
DAB RADIO BLUETOOTH,DEFECT,RADIO,0,18.389261,"COMPLAINT RADIO DOES NOT WORK, VOICE COMMANDS DO NOT WORK CPRZ OUTDATED SOFTWARE VERSION CORRECTION DIAGNOSTICS, RADIO RESET AND SOFTWARE UPDATE"
DAB RADIO BLUETOOTH,SHORT CIRCUIT,RADIO,2,701.903802,"COMPLAINT Radio does not work. CPRZ Internal device fault, short to ground. CORRECTION Replacement of DAB radio, checklist not resolved, reported to THD 106003117."
DAB RADIO BLUETOOTH,DEFECT,RADIO,2,764.221477,"COMPLAINT Radio does not work. CPRZ Internal device fault, broken power supply circuit. CORRECTION Replacement of radio, repair of frayed insulation on the wiring harness powering the radio."
DAB RADIO BLUETOOTH,SHORT CIRCUIT,RADIO,3,690.474273,"COMPLAINT The radio turns off, freezes, cyclically refuses to turn on CPRZ Internal fault, short circuit in the device which causes overheating and shutdown of the device. CORRECTION Replacement of DAB radio."
DAB RADIO BLUETOOTH,SHORT CIRCUIT,RADIO,3,690.474273,"COMPLAINT The radio freezes, heats up, you can't switch anything for approx. 30 minutes. CPRZ Internal fault, short circuit in the device. CORRECTION Replacement of DAB radio."
DAB RADIO BLUETOOTH,SHORT CIRCUIT,RADIO,1,790.6,COMPLAIN THE RADIO SHUTS OFF ALL THE TIME CAUSE INTERNAL SHORT CIRCUIT IN RADIO CORRECTION TROUBLESHOOTING RADIO DIES ALL THE TIME INTERNAL SHORT CIRCUIT CHANGE RADIO DONE BASIC SETTINGS CHECK WORK DONE - OK
DAB RADIO BLUETOOTH,DEFECT,RADIO,1,672.785236,"COMPLAINT Radio - overheating message, display problems CPRZ The DAB radio's liquid crystal display has been damaged CORRECTION Replacement of the DAB radio receiver"
DAB RADIO BLUETOOTH,SHORT CIRCUIT,RADIO,1,674.657719,"COMPLAINT The radio display goes out from time to time (it turns orange and you can't see anything) CPRZ Internal fault in the device, broken internal circuit. CORRECTION Replacement of DAB radio."
DAB RADIO BLUETOOTH,DEFECT,RADIO,0,37.248322,COMPLAINT Radio freezes - does not respond to changes CPRZ Outdated DAB radio software CORRECTION Update DAB radio software
DAB RADIO BLUETOOTH,SHORT CIRCUIT,RADIO,3,686.664429,"COMPLAINT The radio overheats, a message about radio overheating appears and turns off CPRZ Internal device fault, short circuit. CORRECTION Replacement of DAB radio."
DAB RADIO BLUETOOTH,CRACKED,RADIO,1,348.961969,COMPLAINT Problem with the driver's seat armrest - it fell down CPRZ Cracked weld on the driver's seat armrest. CORRECTION Replacement of the radio
DAB RADIO BLUETOOTH,SHORT CIRCUIT,RADIO,2,764.221477,"COMPLAINT Unreadable radio display. CPRZ Internal short circuit in the radio module, the device does not respond. CORRECTION Replacement of radio."
DAB RADIO BLUETOOTH,DEFECT,RADIO,0,13.5,"DAMAGE TYPE SOMETIMES THE WRITINGS ON THE CAR RADIO DISAPPEAR AND SOMETIMES IT SWITCHES OFF BY ITSELF CAUSE RADIA DEFECTIVENESS CORRECTION DIAGNOSIS WITH EASY, READING AND DELETING FAULT MEMORY."
DAB RADIO BLUETOOTH,DEFECTIVE CONTACTS,DASHBOARD WIRING,0,638,"RECL Vehicle does not start after three days of downtime, starter battery completely discharged REASON Wiring on radio incorrectly wired Standby current on battery too high CORRECTION Wiring on radio changed and control unit reprogrammed"
DAB RADIO BLUETOOTH,DEFECTIVE CONTACTS,ECU-BODY COMPUTER,0,34.17,RECL RADIO GOES OFF TEMPORARILY REASON RADIO UPDATE OUTDATED CORRECTION UPDATE CARRIED OUT
DAB RADIO BLUETOOTH,DEFECTIVE CONTACTS,CHANGE-OVER SWITCH,1,154,RECL ERROR DETERMINING AND CORRECTING STEERING WHEEL BUTTON REASON BUTTON NOT FUNCTIONAL CORRECTION CONFIGURE RADIO
DAB RADIO BLUETOOTH,DEFECTIVE CONTACTS,WIRE/CABLE,0,51.96,"RECL Radio is not working REASON Contact interruption on the cable/plug connection on the radio CORRECTION Troubleshooting, findings, contact on plug connection repaired"
DAB RADIO BLUETOOTH,DEFECT,RADIO,1,556.69,"DAMAGE TYPE BLUETOOH RADIO DOES NOT WORK CAUSE RADIO DEFECTIVE, IMPOSSIBLE PAIRING RADIO WITH PHONE VIA BLUETOOTH CORRECTION RADIO REPLACEMENT AND DIAGNOSIS"
DAB RADIO BLUETOOTH,SHORT CIRCUIT,RADIO,0,10.61745,"COMPLAINT ERRORS AND NO START CPRZ THE RADIO IS SHORT-CIRCUIT IN THE ELECTRICAL SYSTEM, BLOWN FUSE P51, PREVENTS THE ENGINE FROM STARTING CORRECTION REPAIR OF THE ELECTRICAL INSTALLATION"
DAB RADIO BLUETOOTH,DEFECT,RADIO,1,870.135134,"RECLAIM Customer complains that the radio is partially independent or not working REASON Radio production error CORRECTION Radio checked for functionality and inquiry made (106058333 THD). Radio replaced, programmed and tested."
DAB RADIO BLUETOOTH,INCORRECT ADJUSTMENT,RADIO,0,114,RECL RADIO NOT WORKING REASON RADIO PROGRAMMING INCOMPLETE CORRECTION RADIO PROGRAMMING COMPLETED
DAB RADIO BLUETOOTH,INCORRECT ADJUSTMENT,RADIO,0,78.96,RECL Radio malfunction REASON Software update on the radio CORRECTION Read and delete error memory Radio diagnosis Radio Radio remove/install Check wiring
DAB RADIO BLUETOOTH,LOW OUTPUT/EFFICIENCY,RADIO,0,61.2,REKL Radio cannot be switched on using the control button REASON Radio defective CORRECTION 769110bef= Radio and power supply checked
DAB RADIO BLUETOOTH,SUNDRY,RADIO,3,897,"RECL Radio not working, only the light in the display lights up, but no other radio function REASON Radio internally defective, damage picture and damage video are attached CORRECTION Radio replaced and trained via teleservice, 1 coin used"
DAB RADIO BLUETOOTH,SHORT CIRCUIT,RADIO,1,134.054054,RECL Radio temporarily not working. REASON Cable harness to radio damaged CORRECTION Disassemble and assemble radio. Repair cable harness. Installation material Fr.16.80
DAB RADIO BLUETOOTH,DEFECT,RADIO,1,150.939597,COMPLAINT The vehicle user cannot change the volume level and stations CPRZ Incorrect algorithm in the DAB radio driver source code CORRECTION DAB radio driver update
DAB RADIO BLUETOOTH,DEFECT,RADIO,0,25.353468,"COMPLAINT THE RADIO SCREEN IS BLURRED CPRZ PROGRAM ERRORS CORRECTION D/M RADIO, CHECK MASSES AND EL CONNECTIONS, UPLOAD UPDATE"
DAB RADIO BLUETOOTH,DEFECT,RADIO,0,57.38255,"COMPLAINT the radio does not catch waves, squeaks from the speakers, crackles from the speakers CPRZ radio software failure - error 07F19C-0C CORRECTION disassembly/assembly of the radio and checking the connections, checking the electrical installation, downloading updates from IWD and updating the software, deleting errors"
DAB RADIO BLUETOOTH,DEFECT,RADIO,2,779.06,"DAMAGE TYPE ...THE RADIO DOES NOT WORK CAUSE ...INTERNAL ELECTRICAL FAULT CORRECTION EASY DIAGNOSIS, GUIDED PROCEDURE AND REPLACEMENT OF BLUETOOTH RADIO WITH PROGRAMMING OF THE SAME IN TELESERVICE..."
DAB RADIO BLUETOOTH,NOISE,RADIO,0,90,RECLASS RADIO NOISE /UPDATE INSTALLING REASON RADIO NOISE /UPDATE INSTALLING CORRECTION TROUBLESHOOTING CABLING / RADIO UPDATE INSTALLING
DAB RADIO BLUETOOTH,DEFECT,RADIO,2,717.56,"COMPLAINT In the morning radio unit is not working, screen is smugdy. CAUSE Defect of radio unit. CORRECTION Replaced radio unit."
DAB RADIO BLUETOOTH,DEFECTIVE CONTACTS,RADIO,1,942.66,RECL Blue Tooth connection to the phone can only be established sporadically REASON Internal fault in the radio CORRECTION Radio tried with another phone Error memory read Radio replaced
DAB RADIO BLUETOOTH,DEFECT,RADIO,0,22.5,DAMAGE TYPE THE STEREO SOMETIMES LOCKS AND STOPS WORKING CAUSE RADIO DEFECTIVENESS CORRECTION SOFTWARE UPDATE PERFORMED ON RADIO (CHEAP LABOUR)
DAB RADIO BLUETOOTH,DEFECT,RADIO,0,127.472034,"COMPLAINT RADIO LOSES WAVES, SOMETIMES TURNS OFF CPRZ ERRORS IN RADIO SOFTWARE CORRECTION D/M RADIO, ANTENNA, BOARD ELEMENTS, HARNESSES FOR RADIO, CHECKING THE WEIGHTS AND QUALITY OF ELECTRICAL CONNECTIONS, UPLOADING NEW SOFTWARE, TEST DRIVE, INSPECTION OUT OF CITY"
DAB RADIO BLUETOOTH,DEFECT,RADIO,1,545.55,DAMAGE TYPE CAR RADIO SWITCHES OFF BY ITSELF CAUSE CAR RADIO DEFECTIVENESS CORRECTION REPLACE CAR RADIO.
DAB RADIO BLUETOOTH,SHORT CIRCUIT,RADIO,1,95.17442,COMPLAINT DAB RADIO CONTROLS INOP CAUSE RADIO SHORT CIRCUIT/GLITCH LOST PROGRAMMING CORRECTION FOLLOW GUIDED PROCEDURE & RE-PROGRAMME RADIO
DAB RADIO BLUETOOTH,INCORRECT ADJUSTMENT,RADIO,0,69.09,REKL Radio sometimes does not switch off Telephone system sometimes not working properly REASON Faulty software on the DAB radio CORRECTION Read and delete error memory DAB radio update carried out according to IWD Wiring radio checked.
DAB RADIO BLUETOOTH,DEFECT,MONITOR,2,922.71,COMPLAINT navigation keeps dropping out CAUSE radio defect CORRECTION new radio fitted and programmed
DAB RADIO BLUETOOTH,SHORT CIRCUIT,MONITOR,1,840.737266,Error Radio turns on and off by itself approximately every 10 seconds Reason Easytester reports no errors Correction Radio replaced and coded
DAB RADIO BLUETOOTH,DEFECTIVE CONTACTS,MONITOR,1,125.55,INCIDENT CONNECTIVITY PROBLEM - NO LONGER CHARGES THE PORTABLE CAUSE DEFECTIVE CONTACTS CAR RADIO SOLUTION TROUBLESHOOTING / REPAIR OF THE CAR RADIO CONNECTOR
DAB RADIO BLUETOOTH,MISFIRE,MONITOR,0,81,"COMPLAINT RADIO CUTS OFF, ALARM TONE FROM RADIO AND ENTER CODE, PERFORM UPDATE. CAUSE IRREGULAR OPERATION CORRECTION RADIO CUTS OFF. DIAGNOSIS MADE AND UPDATE DOWNLOADED FROM IWD. UPDATE UPLOADED INTO RADIO VIA USB STICK."
DAB RADIO BLUETOOTH,DEFECT,MONITOR,0,40.715884,COMPLAINT recently picked up the car and has a problem with the radio CPRZ OUTDATED RADIO SOFTWARE CORRECTION RADIO UPDATE
DAB RADIO BLUETOOTH,BLOCKAGE,MONITOR,0,25.2,RECL Check navigation system REASON Programming navigation system faulty CORRECTION Unlock navigation system with UDT and install update
DAB RADIO BLUETOOTH,DEFECT,MONITOR,0,36.6,DAMAGE TYPE NOISY RADIO BOX CAUSE NIS UPDATE PERFORMED VIA KA000005707 CORRECTION UPDATE KA000005707 PERFORMED AND ABNORMAL RADIO NOISE PROBLEM RESOLVED (WE REQUIRE ECONOMIC PAYMENT BECAUSE THE UPDATE TAKES 30 MINUTES AS WRITTEN IN THE SB AND THERE IS NO SPECIFIC PROCESS ON SR T)
DAB RADIO BLUETOOTH,DEFECT,MONITOR,0,190.4,TYPE_DAMAGE CAR RADIO CUTS OUT CAUSE GENERIC RADIO FAULT CORRECTION FOLLOWING READING FAULT MEMORY+SEARCH ON ETIM NIS PROBLEM DOWNLOADING RTM VERSION ON IWD+UPDATING USB INSTALLING NEW VERSION ON NIS TEST OK
DAB RADIO BLUETOOTH,INTERFERENCE,MONITOR,2,1137.05,INCIDENT the customer reports a malfunction of the car radio which cuts out for no reason at times CAUSE following the circuit check the fault is internal to the car radio -economy oper = time to check the power supplies and condition of the harnesses and connections SOLUTION replacement of the car radio and programming
DAB RADIO BLUETOOTH,DEFECTIVE CONTACTS,MONITOR,1,1311.75,"RECL Radio switches off automatically while driving REASON Radio defective CORRECTION Wiring checked for short circuit and tight fit, THD request, guided procedure ID 5005250618 dated February 11, 2022 processed, radio replaced, error memory deleted,"
DAB RADIO BLUETOOTH,SUPPLY OF MATERIALS,MONITOR,0,20.1,RECL Bluetooth connection from radio to phone breaks down REASON Bluetooth connection from radio to phone breaks down Radio Checked and reset CORRECTION Bluetooth connection from radio to phone breaks down Radio Checked and reset
DAB RADIO BLUETOOTH,DEFECT,MONITOR,0,60.165548,COMPLAINT THE RADIO TURNS OFF BY ITSELF WHILE DRIVING OR HANGS UP CPRZ IT IS NECESSARY TO PERFORM A SOFTWARE UPDATE CORRECTION PERFORM A SOFTWARE UPDATE NIS
DAB RADIO BLUETOOTH,NO WARNING,MONITOR,0,141,INCIDENT SCREEN CUT OUT AT TIMES CAUSE BAD SOFTWARE SOLUTION SCREEN UPDATE (Time: .20)D-R RADIO
DAB RADIO BLUETOOTH,LOW OUTPUT/EFFICIENCY,MONITOR,2,962.01,RECL Radio volume can only be controlled using the rotary wheel REASON Radio volume control not working CORRECTION Radio renewed and programmed
DAB RADIO BLUETOOTH,DEFECT,MONITOR,3,1045.83,"INCIDENT CAR RADIO CUTS OUT INTERMITTENTLY CAUSE MONITOR FAULTY SOLUTION POWER SUPPLY CHECK, OPERATION MONITOR REPLACEMENT AND PROGRAMMING"
DAB RADIO BLUETOOTH,SHORT CIRCUIT,MONITOR,2,1051.35,INCIDENT PROBLESSING FIRST AND REVERSE GEAR CHECK FUEL CONSUMPTION AND AD BLUE AND CAR RADIO CAUSE TOPPING UP GEARBOX OIL POOR EFFICIENCY ADBLUE DOSER SHORT CIRCUIT CAR RADIO SOLUTION .PROBLESSING FIRST AND REVERSE GEARCHECK FUEL CONSUMPTION AND AD BLUE and CAR RADIO.(Time: .10)CHECK GEARBOX OIL LEVEL(Time: .10)TOPPING UP GEARBOX OIL(Time: .10) U.D.T. STATION PREPARATION (Time: .20) MODULE TEST AND FAULT MEMORY CLEARANCE EXCEPT STATION PREPARATION (Time: .20) ADBLUE SYSTEM DIAGNOSTICS EXCEPT STATION PREPARATION (Time: .10) ADBLUE SYSTEM CONTROL TEST EXCEPT STATION PREPARATION (Time: .10) ADBLUE SYSTEM CONTROL TEST AFTER REPAIRS EXCEPT STATION PREPARATION (Time: .20) D-R AD-BLUE DOSING MODULE (Time: .10) U.D.T. STATION PREPARATION (Time: .20) MODULE TEST AND FAULT MEMORY CLEARANCE EXCEPT STATION P REPARATION (Time: .20) D-R RADIO (Time: .50) REMOTE PROGRAMMING (Time: .20)CONTR.EFFICIENCY GROUND CABLES (Time: .20)CONTR.EFFIC . CONT
DAB RADIO BLUETOOTH,DEFECT,MONITOR,1,1051.801802,RECL RADIO SCREEN STAYS BLACK. REASON RADIO DEFECTIVE. CORRECTION DISCONNECT NIS WITHOUT POWER AND RECONNECT. WITHOUT SUCCESS. READING WITH TESTER NO COMMUNICATION. CHECK FUSES OK. REPLACE RADIO UNIT AND PROGRAM. REPROGRAM CARD MATERIAL. CHECK FUNCTION OK.
DAB RADIO BLUETOOTH,DEFECT,MONITOR,2,1048.140937,"COMPLAINT The radio cannot be turned on, the potentiometer does not work CPRZ Electrical fault of the NIS radio CORRECTION Replacement of the NIS radio"
DAB RADIO BLUETOOTH,DEFECTIVE CONTACTS,MONITOR,0,81.081081,"RECL Radio partially not working REASON Software faulty CORRECTION Read error memory, software error, load new software, Error fixed"
DAB RADIO BLUETOOTH,DEFECT,MONITOR,2,926.718122,"COMPLAINT PROBLEM WITH STARTING NAVIGATION - DIFFICULTIES IN USING THE SYSTEM CPRZ DAMAGE TO THE INTERNAL ELECTRICS OF THE RADIO COMPLETE WITH MONITOR CORRECTION DIAGNOSTICS, REPLACEMENT OF THE RADIO COMPLETE WITH DISPLAY - PROGRAMMING"
DAB RADIO BLUETOOTH,OVERHEATING,MONITOR,2,1585.25,"INCIDENT CAR RADIO TURNS OFF, MAKES NOISE WHILE DRIVING CAUSE CAR RADIO MALFUNCTION OVERHEATING, BEAM DAMAGE SOLUTION DIAGNOSIS, FAULT-FINDING TIME, REPLACEMENT PROGRAMMING OF THE AUTORATIO, BEAM RESTORATION"
DAB RADIO BLUETOOTH,SHORT CIRCUIT,MONITOR,2,1211.03,"COMPLAIN radio stops playing while driving then restarts after display the sign JAWLA will start playing again CAUSE , SHORT CORRECTION diagnostics, control and measurement of electricity installation, guided procedure, detected radio malfunction, electrical repair installation, radio replacement, programming"
DAB RADIO BLUETOOTH,DEFECT,MONITOR,1,922.466488,COMPLAINT the radio will not turn on. it is completely dead. CAUSE the radio has an internal error in it. CORRECTION replacement of radio coding of radio. new radio code entered in the car.
DAB RADIO BLUETOOTH,BLOCKAGE,MONITOR,2,925.08,DAMAGE TYPE ON-BOARD COMPUTER SWITCHES OFF AND ON BY ITSELF AND A CAUSE BLOCKING CORRECTION S/R RADIO TO REPLACE
DAB RADIO BLUETOOTH,BLOCKAGE,MONITOR,1,1024.99,RECL RADIO NOT WORKING REASON RADIO BLOCKED CORRECTION RADIO RENEWED
DAB RADIO BLUETOOTH,DEFECT,MONITOR,2,1044.85,INCIDENT CAR RADIO IS NOT WORKING WELL CAUSE CAR RADIO FAULT SOLUTION 769125404 EARTH CHECK -2 769130404 HARNESS CHECK -2 281017104 D-R RADIO -2 ECONOMY FAULT SEARCH -9
DAB RADIO BLUETOOTH,DEFECT,MONITOR,1,1153.963964,"RECL Radio not working REASON Radio defective CORRECTION Radio/Monitor a+e, replace"
DAB RADIO BLUETOOTH,BREAK,MONITOR,1,1065,DAMAGE TYPE RADIO SWITCHES OFF BY ITSELF-THD 106467626-OR OPEN FOR MORE THAN 10 DAYS AS CUSTOMER UNABLE TO GO TO THE WORKSHOP CAUSE DEFECTIVE RADIO (NIS REPROGRAMMING NOT SUFFICIENT) CORRECTION REPLACE RADIO-MONITOR
DAB RADIO BLUETOOTH,LOW OUTPUT/EFFICIENCY,MONITOR,2,962.01,"RECL Radio fails intermittently, cannot be switched on REASON Radio fails intermittently, cannot be switched on CORRECTION Radio renewed and programmed"
DAB RADIO BLUETOOTH,DEFECT,MONITOR,0,268.468467,INCIDENT TOMTOM MAP UPDATE IMPOSSIBLE SEE THD 105986058 CAUSE TOMTOM MAP UPDATE IMPOSSIBLE SEE THD 105986058 SOLUTION TOMTOM MAP UPDATE IMPOSSIBLE SEE THD 105986058
DAB RADIO BLUETOOTH,NO WARNING,MONITOR,2,1024.7,RECL Instrument cluster failed REASON Radio/Sat Nav defective CORRECTION Radio/Sat Nav has been replaced
DAB RADIO BLUETOOTH,LOW OUTPUT/EFFICIENCY,MONITOR,3,1091.6,INCIDENT . AT TIMES THE CAR RADIO TURNS OFF AND STARTS AGAIN CAUSE POOR CAR RADIO EFFICIENCY . SOLUTION economy = see thd.
DAB RADIO BLUETOOTH,SHORT CIRCUIT,MONITOR,1,1060.73,"RECLASS RADIO PARTIALLY FAILS - RADIO SHORT CIRCUIT REASON RADIO PARTIALLY FAILS - RADIO SHORT CIRCUIT CORRECTION RADIO A-E + RENEW, RADIO PROGR."
DAB RADIO BLUETOOTH,BREAK,MONITOR,2,1079.65,INCIDENT CAR RADIO DOES NOT WORK CAUSE SHORT CIRCUIT CAR RADIO SOLUTION CAR RADIO REPLACEMENT
DAB RADIO BLUETOOTH,NO WARNING,MONITOR,0,54.2,RECL RADIO TURNS OFF BY ITSELF / ONLY COMES ON AGAIN AT SOME POINT REASON RADIO SOFTWARE ERROR CORRECTION RADIO SOFTWARE UPDATED
DAB RADIO BLUETOOTH,INCORRECT ASSEMBLY,AERIAL (ACCESS.),1,94.393738,"COMPLAINT Radio squeaking, no response to knobs, turns itself off CPRZ Antenna wire cut to cockpit element during production CORRECTION Replacement of antenna wire"
DAB RADIO BLUETOOTH,SHORT CIRCUIT,RADIO,1,701.88372,"COMPLAINT RADIO NOT WORKING WHEN VEHICLE RUNNING PUT INTO ERROR 281017104 CAUSE UPLOADED DIAGNOSTICS, CHECKED RADIO WIRRING AND CONNECTIONS FOUND ALL OK. CHECKED VOER RADIO FOUND OPEN CIRCUIT WITHIN RADIO CORRECTION REMOVED AND REPLACED RADIO. REPROGRAMMED NEW RADIO AND TESTED FOUND ALL OK"
DAB RADIO BLUETOOTH,SHORT CIRCUIT,RADIO,2,699.59,"complaint The radio does not work. Defective radio. fix Diagnostic operations, radio exchange, programming."
DAB RADIO BLUETOOTH,DEFECT,RADIO,1,645.975392,"COMPLAINT RADIO OVERHEATS, FREEZES CPRZ FAULTY RADIO CORRECTION FAULT VERIFICATION, RADIO REPLACEMENT"
